NAME	PVL Differentiated	Macrophage	GenMod4	T cells CD8+	T cells CD4+	Endothelial RGS5	B cells Memory	GenMod1	Myoepithelial	CAFs MSC iCAF-like	CAFs myCAF-like	Plasmablasts	B cells Naive	GenMod3	GenMod2	GenMod7	DCs	GenMod5	Endothelial ACKR1	Monocyte	Mature Luminal	GenMod6	Endothelial CXCL12	NK cells	PVL Immature	Luminal Progenitors	NKT cells	Endothelial Lymphatic LYVE1
RERG	146.972533371539	1	40.2800542906185	1	1	1	1	49.6319558651727	1	1	1	1	1	1	65.6181183910594	1	1	124.586447267892	1	1	184.179582021936	1	1	1	179.5030935535	103.102776225726	1	1
RERGL	885.163049887154	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REV1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	56.3859478394998	1	44.4028056686367	1	1	1	1	1
REV3L	59.2919163204145	1	1	1	1	48.6413451207611	1	1	1	1	1	1	1	31.1037597469514	1	1	40.0144817876582	1	76.5449966078125	1	1	1	54.8310451240136	1	126.661393924516	1	1	104.1100025937
RFC1	65.2977886281934	41.2623689079488	59.0451965958532	1	1	61.7275331589526	1	38.6721821629716	90.2430887061231	83.4267398742141	58.4237532191685	1	115.061478058125	45.2822609715433	49.8727346079991	31.2074291875056	1	54.3256466581625	103.956827415454	38.1991204474293	40.5024496723636	30.6302416983927	48.8462498496879	1	1	54.2042272650795	1	10.8933723322005
RFC2	1	1	94.9862830244784	1	1	1	1	1	1	1	1	1	1	1	47.8230140138853	1	1	1	1	1	47.3377758322596	1	1	1	1	1	1	1
RFC3	1	1	38.8781515476725	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RFC4	1	1	78.7219808553824	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RFTN1	1	1	1	96.936518059957	1	59.2932194646482	1	1	1	1	1	1	1	1	1	1	108.78536291716	1	1	1	1	1	85.627388546895	79.5377209326721	72.9891320505359	1	1	1
RFWD2	1	34.5708464546981	26.7302242249906	1	1	1	1	1	1	1	1	1	1	1	27.9474617054408	36.4070730399216	1	1	1	1	36.3683897835782	25.4726614918225	1	1	1	38.853479973941	1	1
RFX5	1	1	1	1	1	1	1	1	1	1	1	1	1	24.6187416418402	1	1	1	1	1	1	1	1	1	1	1	1	1	1
RGCC	1	247.532703230099	1	2348.21302561067	1813.54706494904	1350.09996657292	337.137975472245	1	154.124480894315	225.044931417109	384.180270398743	222.435373794057	1	96.6899879867385	1	1	739.66362096559	1	247.418233027354	420.171257634881	1	1	650.82639138474	1695.82145354784	1	435.376998948085	535.156825654257	85.0631399499192
RGL1	1	113.660753622116	1	1	1	94.078083092709	1	1	1	1	1	1	1	1	1	1	1	1	1	36.0777206297728	1	1	1	1	1	1	1	1
RGMA	1	1	1	1	1	1	1	1	1	150.440648330856	1	1	1	1	1	1	1	1	1	1	1	1	1	1	48.7389344392513	1	1	1
RGS1	1	1099.61891016079	1	1327.39391547434	1402.09940705602	1	311.558548835899	1	1	1	1	290.337138100846	139.859581659807	1	1	1	1289.86545189943	1	1	724.743534153974	1	1	1	901.621027907144	1	1	259.218219185368	1
RGS10	1	460.671877093631	129.749431534531	252.779033394905	249.157888488653	1	110.444472537171	125.31886002762	1	57.9447380461127	51.8979832858143	1	1	132.955224549022	107.924401732188	102.499117252861	359.496419390595	85.3687704068659	1	485.921295651132	66.5898515273262	131.710339303525	1	131.811879970081	40.8593100744661	66.4832345199314	1	1
RGS16	588.355320373793	1	1	1	1	331.064975859579	1	1	209.847437962319	342.925771851981	348.588425193949	1	132.409210078459	1	1	1	1	1	276.600568004337	1	121.76598179039	1	1	201.966766059103	708.280774969331	1	1	760.041998728519
RGS18	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	51.0876023531198	1	1	1	1	1	1	1	1
RGS19	1	148.546904372734	30.8488024723219	81.883375623645	1	1	151.773001366982	1	1	1	1	1	205.482936191317	1	26.3866470221224	1	97.2600054672166	1	1	162.055907427636	1	28.3323156336011	1	107.836551684654	1	1	149.870715936167	1
RGS2	1	564.369781684104	1	463.077246525899	307.261156438855	1	442.331626257097	1	1	125.099641051176	101.601212289332	93.9475631053376	369.300025469275	54.414826764872	1	1	1090.84590668968	1	1	963.53610125496	1	1	1	400.560051514905	1	181.365133453153	291.011627792741	1
RGS3	1	1	1	1	1	331.987881892145	1	1	1	1	85.2847097290701	1	1	1	1	1	1	1	1	1	1	1	237.112945453413	1	1	1	1	307.458931831088
RGS5	1813.91403537412	1	1	1	1	836.942013397871	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4571.13213084447	1	1	1
RHBDD2	1	46.6889805382585	105.658711564619	134.646111830605	185.427886789071	41.0911236292949	1	105.047992374075	54.0538565300531	1	50.2765062773122	1	1	93.2711333555484	83.674199942484	97.9782799592949	1	68.6425864562501	39.0460241903765	58.4540082536233	91.1311050482109	105.484999096561	43.2293319880086	1	1	49.9145689575156	1	1
RHBDD3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	26.8668808929399	1	1	1	1	1	1	1	1	1	1	1	1	1
RHBDF2	1	70.1667162518357	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	57.7834001602854	1	1	1	1	1	1	1	1
RHCG	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	110.911425679059	1	1	1	1	1	1
RHNO1	1	1	59.1719907062038	1	1	1	1	1	1	1	1	1	1	1	23.6307603477876	1	1	1	1	1	1	1	1	1	1	1	1	1
RHOBTB3	1	53.1662575475257	51.0706178706255	1	1	1	1	76.1213702512274	1	128.562446173698	143.125236648983	1	1	1	56.253575439271	77.6369144464812	1	54.8525212670888	1	1	164.314807956137	56.9314554914853	1	1	139.022268601546	1	1	1
RHOF	1	1	1	160.16822712607	134.271366123043	1	92.3037666869036	1	1	1	1	1	1	1	1	1	118.773488986207	1	1	1	1	1	1	201.76131013726	1	1	192.627706563903	1
