NAME	GenMod2	PVL Differentiated	NK cells	T cells CD8+	PVL Immature	GenMod7	GenMod3	Plasmablasts	GenMod5	Macrophage	GenMod1	T cells CD4+	CAFs MSC iCAF-like	Myoepithelial	B cells Memory	CAFs myCAF-like	Endothelial CXCL12	GenMod6	Luminal Progenitors	Endothelial RGS5	Endothelial ACKR1	GenMod4	Endothelial Lymphatic LYVE1	Mature Luminal	DCs	Monocyte	B cells Naive	NKT cells
MXRA8	1	115.640781842573	1	1	169.007092728329	1	1	1	1	1	1	1	695.129394414759	229.93396388014	1	763.073175408625	1	1	1	1	1	1	1	1	1	1	1	1
MYB	1	1	1	1	1	1	1	1	125.031029314699	1	28.5962300355567	1	1	1	1	1	1	1	1	1	1	1	1	39.8749803431594	1	1	1	1
MYBL2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	58.6083530191137	1	1	101.698069641792	1	1	1
MYBPC1	1	1	1	1	1	1	1	1	64.4270371579596	1	1	1	1	1	1	1	1	1	1	1	1	1	1	118.130066624708	1	1	1	1
MYC	217.995213901702	702.296554856419	1	1	800.778017115564	211.997818460136	285.410240340024	1	194.589061856949	1	378.306039583905	1	331.756917176234	1045.92374623361	214.308290288792	106.689856281431	190.538370954239	123.195273931084	559.899987968783	179.162768187674	368.651626321008	200.890403162167	168.055612228658	396.87889981343	1	1	1	1
MYCBP	26.9894230511234	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	33.7626758552052	1	1	1	1	1	1	1	1	1	1
MYCT1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	258.378867913957	1	1	183.373334634142	166.492588893034	1	95.1667854421184	1	1	1	1	1
MYD88	1	1	1	1	1	1	1	1	1	50.4218666022803	1	1	1	1	1	1	1	1	1	1	1	1	1	1	98.9443477485358	83.9088494151695	105.09890751177	1
MYEOV	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	52.3571537496614	1	1	1	1	1	1	1	1	1
MYH10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	62.9912717840205	1	1	1	1	1	1	5.78742948526238	40.0205291785901	1	1	1	1
MYH11	1	990.856006071165	1	1	1	1	1	1	1	1	1	1	1	414.448277282602	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MYH14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	28.9514239479739	42.0343598095785	1	1	1	1	1	1	1	1	1
MYL9	1	5616.0457188915	1	1	2555.18363558493	1	362.897695946336	1	49.116610603092	1	1	1	585.941245142527	2508.48524460583	1	1347.90012697336	321.199274019955	52.2616036971243	141.895408250717	428.361763665597	147.086409351516	1	25.2565662735145	50.4814792200998	1	1	1	1
MYLK	1	613.685257365588	1	1	325.49926775759	1	49.3158267434674	1	1	1	1	1	1	2026.23977697492	1	82.5081400812298	48.1898650302978	1	1	104.903158815867	99.7168419632301	1	1	1	1	1	1	1
MYNN	1	1	1	1	1	1	1	1	52.7142490265975	1	31.7272090560549	1	1	1	1	1	1	39.4616462446985	1	1	1	1	105.995640105617	1	1	1	1	1
MYO10	1	1	1	1	1	39.883108545287	61.3527002660363	1	1	1	1	1	1	1	1	1	148.292467072698	26.4259077643538	1	128.57986434859	1	56.6740078291046	1	42.2769075910136	1	1	1	1
MYO1B	25.6274224931154	147.116493421915	1	1	415.158379365543	1	47.3381515269445	1	1	1	1	1	63.4525729989888	1	1	66.6976234128391	77.3162163268213	1	1	212.843503790701	67.4301068148716	33.6920079833151	103.918184883241	59.6718679533637	1	1	1	1
MYO1D	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	65.6501371010637	1	1	1	1	1	1	1	1	1	1	1	1
MYO1E	1	1	1	1	1	1	31.609038712029	1	1	1	1	1	1	1	1	50.5819932319753	116.247390065092	1	88.6797685766125	90.6102689740661	132.925743641349	1	28.6984842997331	28.546600792866	1	1	1	1
MYO1F	1	1	70.6675928431149	90.464794599604	1	1	1	1	1	94.4575204779217	1	1	1	1	1	1	1	1	1	1	1	1	1	1	67.7927011359341	133.638966128548	1	226.285689970611
MYO1G	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	50.1767611591225	53.2910181760831	1	158.371125608185
MYO5A	1	1	1	1	1	1	1	1	1	60.2652826943879	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MYO5C	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	32.2358867082348	1	1	51.5250053962174	1	48.9812808719592	46.8440091211787	1	1	1	1
