NAME	CAFs MSC iCAF-like	Endothelial ACKR1	B cells Memory	T cells CD4+	Monocyte	GenMod5	T cells CD8+	Endothelial CXCL12	Plasmablasts	NK cells	GenMod4	DCs	CAFs myCAF-like	GenMod2	PVL Differentiated	Macrophage	GenMod1	Mature Luminal	Endothelial RGS5	Endothelial Lymphatic LYVE1	GenMod3	GenMod7	Luminal Progenitors	B cells Naive	PVL Immature	Myoepithelial	GenMod6	NKT cells
MAFF	304.08768081289	167.800993886886	1	1	112.174280212355	61.6683921413522	1	160.441427914619	1	366.28417717849	50.6630529329487	86.4845881548152	102.518374976807	59.7737983662403	262.914210154921	107.619439379564	366.811105774162	964.208184632159	122.967933011018	198.304206120326	51.2236539672951	125.231827026177	476.601877265604	1	112.283859965701	432.333455030349	105.230565826565	131.515137755615
MAFG	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	35.0376895245818	1	1	1	1	1	1
MAGEH1	69.2698465104883	1	1	1	1	1	1	61.5333348275055	1	1	1	1	86.6227911559122	1	77.3542592018124	1	1	1	49.5471812694073	1	1	1	1	1	104.367507168124	1	1	1
MAGI1	1	95.9155803692808	1	1	1	1	1	134.019534897522	1	1	1	1	1	1	1	1	1	47.0567924375269	182.767864709036	59.8952790101984	1	1	32.2590503395715	1	1	1	1	1
MAGI3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	53.1556019466847	1	1	1	1	1	1	1	1	1	1
MAGOHB	1	1	1	1	1	55.3778400552904	1	1	1	1	115.289187414537	1	35.3167936029048	70.7981336670523	1	1	43.2328880674555	1	1	1	54.0808499701288	34.4083556877644	1	1	1	1	44.0381780707743	1
MAK16	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	52.6524754176005	1	1	1	1	1	1	1	1
MAL	1	1	1	98.380503379243	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MAL2	1	1	1	1	1	197.594148277699	1	1	1	1	132.322692276517	1	1	113.117876480862	1	1	212.03535746382	114.21589701832	1	1	173.785338932961	183.918056409714	32.7025720619955	1	1	1	222.988092907667	1
MALL	1	257.707895595564	1	1	1	1	1	198.368984502626	1	1	1	1	1	1	1	1	1	1	108.949089311769	185.480821839425	1	1	61.3998054081079	1	1	1	1	1
