Radius,ERn86Epi,ERn58Epi,ERp73Epi,ERp3019Epi
354,325.031847133758,296.893805309734,421.966101694915,605.795652173913
355,326.668789808917,298.53982300885,424.274576271186,609.316770186335
356,328.337579617834,300.185840707965,426.776271186441,612.885714285714
357,330.031847133758,301.654867256637,429.101694915254,616.448447204969
358,331.624203821656,303.061946902655,431.450847457627,619.857142857143
359,333.273885350318,304.610619469027,433.925423728814,623.416770186335
360,334.796178343949,305.911504424779,436.325423728814,626.945962732919
361,336.554140127389,307.548672566372,438.725423728814,630.537888198758
362,338.127388535032,309.132743362832,441.26779661017,634.234161490683
363,339.694267515924,310.690265486726,443.579661016949,637.821118012422
364,341.222929936306,312.247787610619,446,641.316770186335
365,342.949044585987,313.884955752212,448.484745762712,644.873291925466
366,344.789808917197,315.575221238938,450.833898305085,648.46149068323
367,346.382165605096,317.079646017699,453.271186440678,652.094409937888
368,348.019108280255,318.920353982301,455.583050847458,655.829192546584
369,349.694267515924,320.513274336283,457.915254237288,659.519875776397
370,351.286624203822,322.053097345133,460.305084745763,663.152173913043
371,353.299363057325,323.637168141593,462.725423728814,666.774534161491
372,354.955414012739,325.407079646018,465.196610169492,670.437888198758
373,356.649681528662,327.061946902655,467.684745762712,674.12298136646
374,358.222929936306,328.672566371681,470.094915254237,677.817391304348
375,359.707006369427,330.451327433628,472.481355932203,681.429192546584
376,361.337579617834,331.867256637168,474.796610169492,685.201242236025
377,363.031847133758,333.380530973451,477.254237288136,688.928571428571
378,364.789808917197,335.088495575221,479.708474576271,692.72298136646
379,366.496815286624,336.725663716814,482.216949152542,696.512422360248
380,368.286624203822,338.522123893805,484.657627118644,700.278260869565
381,369.904458598726,340.061946902655,487.220338983051,704.05652173913
382,371.726114649682,341.787610619469,489.738983050847,707.885093167702
383,373.43949044586,343.486725663717,492.284745762712,711.666459627329
384,375.235668789809,345.256637168142,494.749152542373,715.408074534162
385,376.980891719745,346.761061946903,497.179661016949,719.254658385093
386,378.700636942675,348.353982300885,499.71186440678,723.074534161491
387,380.254777070064,350.150442477876,502.281355932203,726.842236024845
388,381.853503184713,351.805309734513,504.772881355932,730.626086956522
389,383.611464968153,353.53982300885,507.227118644068,734.521739130435
390,385.286624203822,355.079646017699,509.674576271186,738.416770186335
391,387.267515923567,356.761061946903,512.301694915254,742.365838509317
392,389.082802547771,358.442477876106,514.972881355932,746.268322981367
393,390.834394904459,359.858407079646,517.637288135593,750.065838509317
394,392.503184713376,361.761061946903,520.257627118644,754.105590062112
395,394.31847133758,363.371681415929,522.820338983051,757.968322981366
396,396.057324840764,365.088495575221,525.233898305085,761.878881987578
397,397.891719745223,366.619469026549,527.993220338983,765.789440993789
398,399.783439490446,368.407079646018,530.589830508475,769.769565217391
399,401.585987261146,369.955752212389,533.223728813559,773.735403726708
400,403.522292993631,371.46017699115,535.833898305085,777.66149068323
401,405.216560509554,373.230088495575,538.576271186441,781.629192546584
402,407.031847133758,374.734513274336,541.227118644068,785.542236024845
403,408.885350318471,376.398230088496,543.827118644068,789.437888198758
404,410.847133757962,378.044247787611,546.491525423729,793.489440993789
405,412.496815286624,379.477876106195,549.149152542373,797.46149068323
406,414.375796178344,381.053097345133,551.630508474576,801.427329192547
407,416.076433121019,382.849557522124,554.203389830509,805.511801242236
408,417.783439490446,384.690265486726,556.983050847458,809.573291925466
409,419.745222929936,386.530973451327,559.630508474576,813.611801242236
410,421.611464968153,388.088495575221,562.345762711864,817.665217391304
411,423.426751592357,389.690265486726,564.996610169492,821.775776397516
412,425.191082802548,391.327433628319,567.793220338983,825.851552795031
413,427.15923566879,392.964601769911,570.535593220339,829.977639751553
414,428.853503184713,394.610619469027,573.230508474576,834.003726708075
415,430.643312101911,396.221238938053,576.061016949153,838.159627329193
416,432.528662420382,397.929203539823,578.810169491525,842.303726708075
417,434.222929936306,399.513274336283,581.28813559322,846.401242236025
418,436.076433121019,401.238938053097,584.101694915254,850.507453416149
419,437.84076433121,402.884955752212,586.823728813559,854.6
420,439.707006369427,404.557522123894,589.389830508475,858.751552795031
421,441.496815286624,406.150442477876,592.179661016949,862.926086956522
422,443.229299363057,408.017699115044,595.006779661017,867.050310559006
423,445.063694267516,409.504424778761,597.922033898305,871.213664596273
424,446.910828025478,411.106194690266,600.637288135593,875.362111801242
425,448.821656050955,412.646017699115,603.44406779661,879.522360248447
426,450.834394904459,414.274336283186,606.037288135593,883.774534161491
427,452.732484076433,416.12389380531,608.820338983051,888.001242236025
428,454.624203821656,418,611.603389830508,892.254037267081
