NAME	PVL Differentiated	T cells CD8+	GenMod4	Luminal Progenitors	GenMod3	GenMod1	Plasmablasts	B cells Memory	B cells Naive	NKT cells	T cells CD4+	GenMod7	GenMod5	PVL Immature	CAFs myCAF-like	CAFs MSC iCAF-like	NK cells	Macrophage	Monocyte	Endothelial ACKR1	Endothelial RGS5	GenMod6	DCs	GenMod2	Mature Luminal	Endothelial CXCL12	Myoepithelial	Endothelial Lymphatic LYVE1
MIR497HG	77.3850361437434	1	1	1	1	1	1	1	1	1	1	1	1	60.0375055448016	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MIR99AHG	1	1	1	1	1	1	1	1	1	1	1	1	1	1	93.9242718502749	128.058878441976	1	1	1	1	1	1	1	1	1	1	1	1
MIS18A	1	1	53.320316831926	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MIS18BP1	1	1	81.3073182795598	30.5704131493671	47.6440063489351	1	1	97.3349496584621	54.3480941413295	1	1	1	1	66.5153779015578	59.8290393632487	91.163647061788	1	82.590132065081	98.8179901089506	58.9983881782122	89.189597207334	1	131.900358072437	1	56.8436120501726	65.0020033417666	1	95.1616793053724
MISP	1	1	1	1	1	41.7369349062932	1	1	1	1	1	1	40.9596620974655	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MITF	1	1	1	1	1	1	1	1	1	1	1	1	1	1	60.5754042677206	110.610675568489	1	53.7458979148002	1	1	1	1	1	1	1	1	1	1
MKI67	1	1	167.386823319432	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MKL1	1	1	1	35.7548327555598	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	54.3497050151264	1	33.4208443762197	1	1	1
MKL2	1	1	1	1	1	42.5038019756865	1	1	1	1	1	43.7145239993288	48.6095160930512	1	1	1	1	1	1	168.497033207073	76.9998449591821	28.737487378637	1	27.0523911487723	1	102.028723209402	1	1
MKNK1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	99.8298869445657	1	1	1	1	1	1	1	1	1	1
MKNK2	62.0007442532262	1	35.9610212666205	39.5695895986141	27.828665402723	67.1280606168121	1	1	1	116.105285017732	1	92.5073666029172	65.7336829645987	1	1	1	1	80.8659783964592	70.0312444902331	96.5773882211369	44.750984083829	54.9116285664072	67.4367745385656	54.4796561510648	61.8526336694376	66.2183857510279	89.3530429193987	1
MKRN1	46.7741748607238	1	57.4903772332918	58.8962208712687	56.2331653579504	81.5540564684463	1	83.3586603698765	110.012962690897	1	1	73.4540253894289	82.3157415207246	55.2488127541068	1	1	1	57.0118263265604	46.6011602229099	1	1	85.7883670981828	57.7439781831312	61.7845863162316	55.5534587708053	60.2103182719706	1	51.2002279441449
MLF1	82.6139151352675	1	53.493138354665	101.636791350193	65.4457565648942	156.44347485107	1	1	1	1	1	70.5166652680262	48.4327022440562	1	1	72.2331158437264	1	1	1	1	1	58.2124188244635	1	60.053739021899	110.202528932295	1	99.7301382068917	1
MLLT11	1	1	1	1	51.3857542775917	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
MLLT3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	50.604941394626	1	1	1
MLLT4	1	1	1	54.8528115008793	1	68.1031717642619	1	1	1	1	1	99.7287266331041	304.344627421576	1	1	1	1	1	1	60.807247725015	93.1554314737628	43.3116345203882	1	182.920622910337	40.5078595411938	116.415241764124	1	57.2851605459652
MLLT6	1	1	1	33.4141349722561	1	1	1	1	1	1	1	1	1	73.3210269465248	1	1	1	1	1	59.7289125240823	78.5059023587413	1	1	1	76.4351289552135	61.1121804056578	1	1
MLPH	1	1	63.6477849896873	42.6959645247748	1	292.248637967105	1	1	1	1	1	246.274047841487	281.631113097714	1	1	1	1	1	1	1	1	233.955023394569	1	142.706659643067	348.602720018545	1	1	1
MLST8	1	1	76.2973718817566	35.6181894010463	46.4228610408249	49.2274113562959	1	1	1	1	1	63.8288252206329	45.9401720110044	1	1	1	1	1	1	1	43.4614544830413	58.179151026256	1	92.3973393591532	48.8210388755871	1	1	1
MLXIP	1	1	1	34.9471053225712	1	1	1	1	1	1	1	1	1	1	44.3061695211093	1	1	1	1	69.324214033971	84.9932952812473	1	1	1	1	125.696401579686	1	54.8008988489488
MMD	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	37.08622697137	1	1	1	1	1	1	1	1	1	1
MME	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	204.293648817609	1
MMEL1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	28.0143763483708	1	1	34.4022017658822	1	1	1
