NAME	T cells CD8+	CAFs myCAF-like	Macrophage	T cells CD4+	Mature Luminal	GenMod6	GenMod3	CAFs MSC iCAF-like	PVL Differentiated	Endothelial ACKR1	GenMod4	Plasmablasts	NKT cells	GenMod7	GenMod5	PVL Immature	NK cells	GenMod1	Monocyte	B cells Naive	Endothelial CXCL12	GenMod2	Endothelial RGS5	Myoepithelial	B cells Memory	DCs	Luminal Progenitors	Endothelial Lymphatic LYVE1
LINC00665	1	1	1	1	46.3529543275977	37.121796407854	47.3676011413658	1	1	1	73.3347680225283	1	1	52.855442110211	47.241166431879	1	1	50.2714298607828	1	1	1	64.9896758603706	1	1	1	1	33.1396819568542	1
LINC00861	1	1	1	104.711441022868	1	1	1	1	1	1	1	1	238.042314474229	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LINC00869	1	1	1	1	43.4274502577493	1	1	1	1	1	1	1	1	1	90.9213389630959	1	1	1	1	1	1	1	1	1	1	1	1	1
LINC00926	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	438.69486883911	1	1	1	1	237.962274032248	1	1	1
LINC00936	1	1	113.271070864637	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	229.552945833503	1	1	1	1	1	84.7295245184879	1	1	1
LINC00993	1	1	1	1	48.6849242482242	45.0314915997418	1	1	1	1	1	1	1	1	66.8557299993721	1	1	50.483914150759	1	1	1	1	1	1	1	1	1	1
LINC00996	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	144.638575350309	1	1	1	1	1	1	1	1	76.4059154294238	1	1
LINC01006	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	30.5698551438581	1	1	1	1	1	1
LINC01094	1	1	78.4108767269972	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
LINC01116	1	106.04534032514	1	1	1	1	1	1	1	43.1158305611717	1	1	1	1	1	1	1	1	1	1	63.3554798242466	1	1	1	1	1	1	67.3232205166361
LINC01133	1	1	1	1	1	44.0759861213149	60.9166681490165	1	1	1	91.2002177862514	1	1	73.0263800729991	1	1	1	1	1	1	1	52.4965567238078	1	1	1	1	1	1
LINC01184	1	1	1	1	39.7313910244931	32.8552304701702	28.0631651964187	1	1	1	1	1	1	1	1	1	1	37.6779932989956	1	1	1	1	1	1	1	1	37.0157610737446	1
LINC01197	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	63.5735727655086	1	1	1	1	1	1	1	1	1	1	1	1
